title,release_date,genres,overview,runtime,director,language,box_office_collection,imdb_rating,genres_list,release_year,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_sentiment
Dangal,2016-12-23,"[{""name"": ""Drama""}, {""name"": ""Sport""}]",Former wrestler Mahavir Singh Phogat trains his daughters to become world-class wrestlers.,161,Nitesh Tiwari,Hindi,2000,8.4,"['Drama', 'Sport']",2016,0.0,0.0,Neutral,0.0,Neutral
3 Idiots,2009-12-25,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",Two friends are searching for their lost companion. They revisit their college days.,170,Rajkumar Hirani,Hindi,2024,8.4,"['Comedy', 'Drama']",2009,0.0,0.0,Neutral,0.2023,Positive
Baahubali 2,2017-04-28,"[{""name"": ""Action""}, {""name"": ""Adventure""}, {""name"": ""Drama""}]","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers.",167,S.S. Rajamouli,Telugu,1810,8.7,"['Action', 'Adventure', 'Drama']",2017,0.0,0.0,Neutral,0.0,Neutral
PK,2014-12-19,"[{""name"": ""Comedy""}, {""name"": ""Drama""}, {""name"": ""Science Fiction""}]",An alien on Earth loses the only device he can use to communicate with his spaceship.,153,Rajkumar Hirani,Hindi,832,8.1,"['Comedy', 'Drama', 'Science Fiction']",2014,-0.18333333333333335,0.6166666666666667,Negative,-0.3182,Negative
Bajrangi Bhaijaan,2015-07-17,"[{""name"": ""Drama""}, {""name"": ""Family""}]",A young mute girl from Pakistan loses her way and crosses over to India.,163,Kabir Khan,Hindi,969,8.1,"['Drama', 'Family']",2015,-0.09999999999999999,0.25,Neutral,-0.3182,Negative
Sultan,2016-07-06,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""Romance""}]",Sultan is a classic underdog tale about a wrestlers journey.,170,Ali Abbas Zafar,Hindi,623,7.0,"['Action', 'Drama', 'Romance']",2016,0.16666666666666666,0.16666666666666666,Positive,0.0,Neutral
Sanju,2018-06-29,"[{""name"": ""Biography""}, {""name"": ""Drama""}]",Biopic of the controversial life of actor Sanjay Dutt.,155,Rajkumar Hirani,Hindi,586,7.6,"['Biography', 'Drama']",2018,0.55,0.95,Positive,-0.2023,Negative
Padmaavat,2018-01-25,"[{""name"": ""Drama""}, {""name"": ""History""}, {""name"": ""Romance""}]",Queen Padmavati is known for her exceptional beauty along with a keen strategic mind.,164,Sanjay Leela Bhansali,Hindi,585,7.0,"['Drama', 'History', 'Romance']",2018,0.6666666666666666,1.0,Positive,0.7645,Positive
Tiger Zinda Hai,2017-12-22,"[{""name"": ""Action""}, {""name"": ""Thriller""}]",Tiger is alive and kicking in this action-packed thriller.,158,Ali Abbas Zafar,Hindi,565,7.0,"['Action', 'Thriller']",2017,0.1,0.4,Neutral,0.4588,Positive
War,2019-10-02,"[{""name"": ""Action""}, {""name"": ""Thriller""}]",The story of Indian soldiers who fought in the Kargil war.,154,Siddharth Anand,Hindi,475,6.5,"['Action', 'Thriller']",2019,0.0,0.0,Neutral,-0.7351,Negative
Kabir Singh,2019-06-21,"[{""name"": ""Drama""}, {""name"": ""Romance""}]",A short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,182,Sandeep Reddy Vanga,Hindi,379,7.0,"['Drama', 'Romance']",2019,-0.30000000000000004,0.2,Negative,-0.4588,Negative
Uri: The Surgical Strike,2019-01-11,"[{""name"": ""Action""}, {""name"": ""Drama""}, {""name"": ""War""}]",Indian army special forces execute a covert operation.,138,Aditya Dhar,Hindi,342,8.3,"['Action', 'Drama', 'War']",2019,0.35714285714285715,0.5714285714285714,Positive,0.4019,Positive
Mission Mangal,2019-08-15,"[{""name"": ""Drama""}, {""name"": ""Science Fiction""}]",Based on true events of the Indian Space Research Organisation.,130,Jagan Shakti,Hindi,290,6.5,"['Drama', 'Science Fiction']",2019,0.35,0.65,Positive,0.4215,Positive
Housefull 4,2019-10-25,"[{""name"": ""Comedy""}, {""name"": ""Horror""}]",Three couples who get separated from each other due to an evil ploy.,146,Farhad Samji,Hindi,282,4.1,"['Comedy', 'Horror']",2019,-0.4166666666666667,0.5833333333333334,Negative,-0.6597,Negative
Good Newwz,2019-12-27,"[{""name"": ""Comedy""}, {""name"": ""Drama""}]",Two couples with the same surnames pursue in-vitro fertilization.,134,Raj Mehta,Hindi,220,6.7,"['Comedy', 'Drama']",2019,0.0,0.125,Neutral,0.0,Neutral
Tanhaji,2020-01-10,"[{""name"": ""Action""}, {""name"": ""Biography""}, {""name"": ""Drama""}]","The story of Tanhaji Malusare, a military chieftain in the army of Chhatrapati Shivaji Maharaj.",134,Om Raut,Hindi,368,7.6,"['Action', 'Biography', 'Drama']",2020,-0.1,0.1,Neutral,0.0,Neutral
Sooryavanshi,2021-11-05,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Thriller""}]",A fearless cop takes on a dangerous gang to save his city.,145,Rohit Shetty,Hindi,296,6.0,"['Action', 'Crime', 'Thriller']",2021,-0.6,0.9,Negative,0.4588,Positive
RRR,2022-03-25,"[{""name"": ""Action""}, {""name"": ""Drama""}]",A tale of two legendary revolutionaries and their journey far away from home.,187,S.S. Rajamouli,Telugu,1387,7.9,"['Action', 'Drama']",2022,0.55,1.0,Positive,0.0,Neutral
KGF Chapter 2,2022-04-14,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Thriller""}]","Rocky, whose name strikes fear in the heart of his foes.",168,Prashanth Neel,Kannada,1215,8.2,"['Action', 'Crime', 'Thriller']",2022,0.0,0.0,Neutral,-0.5423,Negative
Pushpa,2021-12-17,"[{""name"": ""Action""}, {""name"": ""Crime""}, {""name"": ""Thriller""}]",The rise of a truck driver from the forests of Seshachalam.,179,Sukumar,Telugu,373,7.6,"['Action', 'Crime', 'Thriller']",2021,0.0,0.0,Neutral,0.0,Neutral
